QC1-1-129a      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129b      Kodeverdi for EE utenfor tillatt omraade
QC1-1-129c      Kodeverdi for EE utenfor tillatt omraade
QC1-3a-201      Sprang-sjekk. Synking eller okning av QOX siden forrige obs storre enn testverdi.
QC1-3a-211      Sprang-sjekk. Synking eller okning av TA siden forrige obs storre enn testverdi.
QC1-3a-212      Sprang-sjekk. Synking eller okning av TAM siden forrige obs storre enn testverdi.
QC1-3a-213      Sprang-sjekk. Synking eller okning av TAN siden forrige obs storre enn testverdi.
QC1-3a-215      Sprang-sjekk. Synking eller okning av TAX siden forrige obs storre enn testverdi.
QC1-3a-221      Sprang-sjekk. Synking eller okning av TG siden forrige obs storre enn testverdi.
QC1-3a-223      Sprang-sjekk. Synking eller okning av TGN siden forrige obs storre enn testverdi.
QC1-3a-225      Sprang-sjekk. Synking eller okning av TGX siden forrige obs storre enn testverdi.
QC1-3a-227      Sprang-sjekk. Synking eller okning av TJM siden forrige obs storre enn testverdi.
QC1-3a-238      Sprang-sjekk. Synking eller okning av TV siden forrige obs storre enn testverdi.
QC1-3a-262      Sprang-sjekk. Synking eller okning av UU siden forrige obs storre enn testverdi.
QC1-3a-264      Sprang-sjekk. Synking eller okning av UN siden forrige obs storre enn testverdi.
QC1-3a-265      Sprang-sjekk. Synking eller okning av UX siden forrige obs storre enn testverdi.
QC1-3a-81       Sprang-sjekk. Synking eller okning av FF siden forrige obs storre enn testverdi.
QC1-3a-85       Sprang-sjekk. Synking eller okning av FM siden forrige obs storre enn testverdi.
QC1-3a-86       Sprang-sjekk. Synking eller okning av FX siden forrige obs storre enn testverdi.
QC1-3a-87       Sprang-sjekk. Synking eller okning av FX_1 siden forrige obs storre enn testverdi.
QC1-3a-88       Sprang-sjekk. Synking eller okning av FX_6 siden forrige obs storre enn testverdi.
QC1-3a-89       Sprang-sjekk. Synking eller okning av FX_12 siden forrige obs storre enn testverdi.
QC1-3a-90       Sprang-sjekk. Synking eller okning av FG_1 siden forrige obs storre enn testverdi.
QC1-3a-91       Sprang-sjekk. Synking eller okning av FG_6 siden forrige obs storre enn testverdi.
QC1-3a-92       Sprang-sjekk. Synking eller okning av FG_12 siden forrige obs storre enn testverdi.
QC1-3a-93       Sprang-sjekk. Synking eller okning av FX_X siden forrige obs storre enn testverdi.
QC1-3a-94       Sprang-sjekk. Synking eller okning av FG_X siden forrige obs storre enn testverdi.
QC1-3b-1        Frys-sjekk. Varighet av samme verdi av AA storre enn testverdi.
QC1-3b-104      Frys-sjekk. Varighet av samme verdi av RA storre enn testverdi.
QC1-3b-135      Frys-sjekk. Varighet av samme verdi av WHMAX storre enn testverdi.
QC1-3b-136      Frys-sjekk. Varighet av samme verdi av WHM0 storre enn testverdi.
QC1-3b-172      Frys-sjekk. Varighet av samme verdi av PH storre enn testverdi.
QC1-3b-174      Frys-sjekk. Varighet av samme verdi av POM storre enn testverdi.
QC1-3b-175      Frys-sjekk. Varighet av samme verdi av PON storre enn testverdi.
QC1-3b-176      Frys-sjekk. Varighet av samme verdi av POX storre enn testverdi.
QC1-3b-177      Frys-sjekk. Varighet av samme verdi av PP storre enn testverdi.
QC1-3b-178      Frys-sjekk. Varighet av samme verdi av PR storre enn testverdi.
QC1-3b-197      Frys-sjekk. Varighet av samme verdi av QE storre enn testverdi.
QC1-3b-198      Frys-sjekk. Varighet av samme verdi av QL storre enn testverdi.
QC1-3b-199      Frys-sjekk. Varighet av samme verdi av QLX storre enn testverdi.
QC1-3b-2        Frys-sjekk. Varighet av samme verdi av BI storre enn testverdi.
QC1-3b-200      Frys-sjekk. Varighet av samme verdi av QO storre enn testverdi.
QC1-3b-201      Frys-sjekk. Varighet av samme verdi av QOX storre enn testverdi.
QC1-3b-211      Frys-sjekk. Varighet av samme verdi av TA storre enn testverdi.
QC1-3b-212      Frys-sjekk. Varighet av samme verdi av TAM storre enn testverdi.
QC1-3b-213      Frys-sjekk. Varighet av samme verdi av TAN storre enn testverdi.
QC1-3b-215      Frys-sjekk. Varighet av samme verdi av TAX storre enn testverdi.
QC1-3b-221      Frys-sjekk. Varighet av samme verdi av TG storre enn testverdi.
QC1-3b-222      Frys-sjekk. Varighet av samme verdi av TGM storre enn testverdi.
QC1-3b-223      Frys-sjekk. Varighet av samme verdi av TGN storre enn testverdi.
QC1-3b-225      Frys-sjekk. Varighet av samme verdi av TGX storre enn testverdi.
QC1-3b-227      Frys-sjekk. Varighet av samme verdi av TJM storre enn testverdi.
QC1-3b-238      Frys-sjekk. Varighet av samme verdi av TV storre enn testverdi.
QC1-3b-262      Frys-sjekk. Varighet av samme verdi av UU storre enn testverdi.
